titleId,titleName,original,author,artistId,adult,age,bestChallengeLevelUp,finish,thumbnailUrl,synopsis,genre,rankGenreTypes,tags,totalCount,viewCount,starScore,favoriteCount,star_std_deviation,like_mean_value,like_std_deviation,comments_mean_value,comments_std_deviation,collected_num_of_epi,num_of_works,nums_of_work_2,writers_favor_average,osmu_movie,osmu_drama,osmu_anime,osmu_play,osmu_game,osmu_OX
660366,마스크걸,FALSE,매미 / 희세,"[292088, 292087]",TRUE,18세 이용가,,TRUE,https://image-comic.pstatic.net/webtoon/660366/thumbnail/thumbnail_IMAG21_3774688497130353974.jpg,"끝내주게 못생기고
끝내주게 몸매좋은 여자, 김모미",['THRILL'],['THRILLER'],"['성인웹툰', '스릴러', '서스펜스', '완결스릴러']",0,20138268,9.96401,549153,0,0,0,0,0,,3,3,334558.6667,0,1,0,0,0,1
758666,꼬리잡기,FALSE,바쉬,[347854],FALSE,15세 이용가,,TRUE,https://image-comic.pstatic.net/webtoon/758666/thumbnail/thumbnail_IMAG21_7364564497641911606.jpg,"건물붕괴 사고로 매몰된 9명의 대학생.
2주 뒤, 3명은 사망하고 1명은 의식불명인 상태로 발견된다.
가까스로 구조된 생존자 5명은 그곳에서 있었던 일을 숨기려 하는데... 생존자인 척 숨어있던 살인자에 대한 정황이 드러나기 시작한다.
수사팀은 이 밀실살인 사건의 처음과 끝을 파헤치게 된다.
2020 지상최대공모전 1기 대상 수상작.",['THRILL'],['THRILLER'],"['2020 지상최대공모전', '서바이벌', '완결무료', '범죄', '스릴러', '서스펜스', '완결스릴러', '두뇌싸움']",108,0,9.9487,274336,0.0155520811,13911.2,2384.335161,842.8,169.1146357,5,1,1,274848,0,0,0,0,0,0
570503,연애혁명,FALSE,232,[261731],FALSE,15세 이용가,,TRUE,https://image-comic.pstatic.net/webtoon/570503/thumbnail/thumbnail_IMAG21_7b907ee6-a61e-495b-9b8f-be2f0a4be44b.jpeg,"평범하면서 금사빠인 고등학생 순정남 공주영은 
까칠하고 차가운 여학생 왕자림을 보고 사랑에 빠져버린다.
너무 다른 둘, 괜찮을까?",['DRAMA'],['DRAMA'],"['하이틴', '완결무료', '드라마', '완결드라마', '혐관로맨스', '학원로맨스', '다정남']",442,343529092,9.86481,2543475,0.2149807452,75174.6,12708.22575,23145.8,14609.60593,5,1,1,2544597,0,1,0,0,1,1
783056,여고생 드래곤,FALSE,땅콩,[351603],FALSE,12세 이용가,,TRUE,https://image-comic.pstatic.net/webtoon/783056/thumbnail/thumbnail_IMAG21_3775197790073796145.jpg,"안녕! 내 이름은 ‘김민지’, 어디에나 있는 평범한 여고생이야.
근데 자고 일어났더니 이상한 도마뱀이 돼버렸지 뭐야!?
으아앙! 싫어! 개못생겼어! 나 집에 갈래! 누가 나 좀 도와줘!
근데 잠깐만, 이렇게 되면 현실세계의 내 몸은?",['FANTASY'],['FANTASY'],"['판타지', '4차원', '먼치킨', '완결판타지', '차원이동']",121,0,9.97541,153558,0.0114366356,13680.6,996.7721104,859.6,186.7277162,10,1,1,156822,0,0,0,0,0,0
783861,헤어지면 죽음,FALSE,봄소희 / KYMA,"[325944, 350716]",FALSE,15세 이용가,,TRUE,https://image-comic.pstatic.net/webtoon/783861/thumbnail/thumbnail_IMAG21_7571ae6b-a37c-4d12-8193-cb79c857cfaa.jpg,"완벽한 인플루언서의 삶. 좋아하는 여자와의 썸.
고백만이 남았는데 황당한 테러 사건에 휘말렸다?!
""집착이 아니라 진짜로 우리..! 헤어지면 죽어!!""",['PURE'],['ROMANCE'],"['로맨스', '완결무료', '레드스트링', '완결로맨스', '인플루언서']",96,0,9.94871,221519,0.035349109,10281.6,2062.815319,454.9,119.542001,10,3,2,137385.6667,0,0,0,0,0,0
796980,선을 넘은 연애,FALSE,서녜,[356742],FALSE,전체연령가,,TRUE,https://image-comic.pstatic.net/webtoon/796980/thumbnail/thumbnail_IMAG21_3545002734307981623.jpg,"누나와 동생 같은 동갑내기 소꿉친구 '아라'와 '가람'.  
고등학교 2학년이 된 두 사람은 8살 이후 처음으로 같은 반이 되면서 예상치 못한 방향으로 관계가 변하기 시작한다. 
가람이가 그저 귀여운 아라와 그게 못마땅한 가람. 
과연 두 사람은 연애라는 선을 넘을 수 있을까?",['PURE'],['ROMANCE'],"['하이틴', '로맨스', '완결무료', '소꿉친구', '2021 최강자전', '햇살캐', '완결로맨스', '성장드라마', '학원로맨스', '다정남']",59,0,9.97493,264061,0.0099691236,12201.2,2859.513063,352.1,197.1636123,10,1,1,262908,0,0,0,0,0,0
736744,캐슬,FALSE,정연,[329642],FALSE,15세 이용가,,TRUE,https://image-comic.pstatic.net/webtoon/736744/thumbnail/thumbnail_IMAG21_3905519414961792355.jpg,"복수를 위해 칼을 갈아온 특급 킬러 '김신',
뒷세계 '절대권력'과의 목숨 건 한판 승부!",['ACTION'],['ACTION'],"['완결액션', '느와르', '완결무료', '복수극', '액션']",121,0,9.96774,436339,0.0170416152,21936.1,3292.637892,796.6,627.6629988,10,2,2,330899.5,0,0,0,0,0,0
20853,마음의소리,TRUE,조석,[2],FALSE,전체연령가,,TRUE,https://image-comic.pstatic.net/webtoon/20853/thumbnail/thumbnail_IMAG21_3473455334371243620.jpg,"솔직 담백 최강의 개그 만화 <마음의 소리>
날 가져요 엉엉",['COMIC'],['HUMOR'],"['드라마&영화 원작웹툰', '4차원', '완결개그', '개그']",1238,2593260741,9.85825,1740596,0.1330856182,17375.2,6772.321741,12636.5,13067.69888,1,19,19,218763.5333,0,1,1,0,1,1
753975,내게 필요한 NO맨스,FALSE,마그네슘,[337218],FALSE,전체연령가,,TRUE,https://image-comic.pstatic.net/webtoon/753975/thumbnail/thumbnail_IMAG21_7413f409-1a09-46b7-b10e-fa0cc7bc68b7.jpeg,"베프의 결혼식에서 나 혼자 솔로임을 알게 된 아연.
아연은 혼자 남을 두려움에 신을 원망한다.
그리고 갑자기 엄청난 남자들과 엮이기 시작하는데..?
2019 지상 최대 공모전 3기 장려상 수상작!",['PURE'],['ROMANCE'],"['로맨스', '연예계', '완결무료', '2019 지상최대공모전', '완결로맨스', '역하렘']",94,0,9.96691,220830,0.0377978968,17726.4,2674.669482,940,337.6693649,10,1,1,219650,0,0,0,0,0,0
758660,네버엔딩달링,FALSE,울리,[347846],FALSE,15세 이용가,,TRUE,https://image-comic.pstatic.net/webtoon/758660/thumbnail/thumbnail_IMAG21_3833467305617220449.jpg,"""남자친구의 집에서 죽어있는 나를 발견했다.""
복제산업으로 생명 연장이 가능한 시대. 취준생 윤하임은 이 기술을 만든 남자친구 지근후와 연애 중이다.
어느 날, 하임은 우연히 그의 집에서 자신의 시체를 발견하고, 자신이 복제되고 있다는 것을 알아버렸다.
끊임없이 죽고, 복제 당하는 반복으로부터 벗어날 수 있을까?",['THRILL'],['THRILLER'],"['sf', '완결무료', '스릴러', '완결스릴러']",89,0,9.94561,95823,0.0664572063,6360.7,973.1823108,327.3,91.94786566,10,1,1,97990,0,0,0,0,0,0
